R: 82 	 G: 67 	 B: 55
R: 27 	 G: 12 	 B: 0
R: 88 	 G: 73 	 B: 61
R: 109 	 G: 94 	 B: 82
R: 129 	 G: 114 	 B: 102
R: 220 	 G: 205 	 B: 193
R: 189 	 G: 174 	 B: 163
R: 169 	 G: 154 	 B: 142
R: 200 	 G: 185 	 B: 173
R: 210 	 G: 193 	 B: 194
R: 241 	 G: 224 	 B: 224
R: 220 	 G: 204 	 B: 204
R: 190 	 G: 173 	 B: 173
R: 194 	 G: 177 	 B: 177
R: 163 	 G: 147 	 B: 147
R: 153 	 G: 136 	 B: 136
R: 163 	 G: 147 	 B: 147
R: 159 	 G: 146 	 B: 123
R: 159 	 G: 146 	 B: 123
R: 190 	 G: 177 	 B: 153
R: 190 	 G: 177 	 B: 153
R: 181 	 G: 154 	 B: 146
R: 191 	 G: 164 	 B: 157
R: 171 	 G: 144 	 B: 136
R: 140 	 G: 113 	 B: 106
R: 150 	 G: 93 	 B: 129
R: 201 	 G: 144 	 B: 180
R: 119 	 G: 62 	 B: 98
R: 170 	 G: 113 	 B: 149
R: 211 	 G: 154 	 B: 190
R: 170 	 G: 113 	 B: 149
R: 201 	 G: 144 	 B: 180
R: 180 	 G: 123 	 B: 159
R: 140 	 G: 127 	 B: 103
R: 150 	 G: 137 	 B: 113
R: 140 	 G: 127 	 B: 103
R: 170 	 G: 157 	 B: 134
R: 152 	 G: 155 	 B: 103
R: 152 	 G: 155 	 B: 103
R: 182 	 G: 185 	 B: 133
R: 182 	 G: 185 	 B: 133
R: 143 	 G: 132 	 B: 97
R: 133 	 G: 122 	 B: 86
R: 133 	 G: 122 	 B: 86
R: 123 	 G: 112 	 B: 76
R: 130 	 G: 106 	 B: 86
R: 151 	 G: 126 	 B: 106
R: 110 	 G: 85 	 B: 66
R: 130 	 G: 106 	 B: 86
R: 160 	 G: 159 	 B: 132
R: 150 	 G: 149 	 B: 121
R: 130 	 G: 129 	 B: 101
R: 140 	 G: 139 	 B: 111
R: 151 	 G: 150 	 B: 122
R: 141 	 G: 140 	 B: 112
R: 131 	 G: 129 	 B: 102
R: 120 	 G: 119 	 B: 92
R: 152 	 G: 151 	 B: 123
R: 142 	 G: 141 	 B: 113
R: 142 	 G: 141 	 B: 113
R: 131 	 G: 130 	 B: 103
R: 121 	 G: 120 	 B: 92
R: 131 	 G: 130 	 B: 103
R: 101 	 G: 100 	 B: 72
R: 131 	 G: 130 	 B: 103
R: 129 	 G: 128 	 B: 101
R: 109 	 G: 108 	 B: 80
R: 129 	 G: 128 	 B: 101
R: 109 	 G: 108 	 B: 80
R: 87 	 G: 74 	 B: 51
R: 108 	 G: 95 	 B: 71
R: 149 	 G: 136 	 B: 112
R: 149 	 G: 136 	 B: 112
R: 117 	 G: 102 	 B: 90
R: 117 	 G: 102 	 B: 90
R: 158 	 G: 143 	 B: 131
R: 158 	 G: 143 	 B: 131
R: 116 	 G: 87 	 B: 91
R: 146 	 G: 117 	 B: 122
R: 146 	 G: 117 	 B: 122
R: 136 	 G: 107 	 B: 111
R: 154 	 G: 126 	 B: 130
R: 103 	 G: 75 	 B: 79
R: 144 	 G: 116 	 B: 120
R: 114 	 G: 85 	 B: 89
R: 103 	 G: 100 	 B: 84
R: 144 	 G: 141 	 B: 125
R: 103 	 G: 100 	 B: 84
R: 144 	 G: 141 	 B: 125
R: 86 	 G: 85 	 B: 57
R: 96 	 G: 95 	 B: 67
R: 96 	 G: 95 	 B: 67
R: 65 	 G: 64 	 B: 37
R: 136 	 G: 123 	 B: 100
R: 157 	 G: 144 	 B: 120
R: 136 	 G: 123 	 B: 100
R: 136 	 G: 123 	 B: 100
R: 117 	 G: 104 	 B: 81
R: 87 	 G: 74 	 B: 50
R: 138 	 G: 125 	 B: 101
R: 107 	 G: 94 	 B: 70
R: 105 	 G: 92 	 B: 68
R: 85 	 G: 72 	 B: 48
R: 85 	 G: 72 	 B: 48
R: 85 	 G: 72 	 B: 48
R: 90 	 G: 77 	 B: 54
R: 90 	 G: 77 	 B: 54
R: 101 	 G: 88 	 B: 64
R: 121 	 G: 108 	 B: 84
R: 96 	 G: 93 	 B: 78
R: 107 	 G: 104 	 B: 88
